id,user,created_at,text
1049804676139507712,Marziaingrid7,2018-10-09 23:31:53,What does chemistry mean Me Caryl braime twd Got
1049804598498611200,XixinaXixikk,2018-10-09 23:31:35,Awesome company with great potential I believe in her success and advise you Continue to follow the news As the
1049804220164165632,Gustavodomecq4,2018-10-09 23:30:05,RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar
1049804077373120512,tuanahanh,2018-10-09 23:29:31,You can not even imagine what prospects the project has You need to join and not lose such a possibility Team and
1049810767103631360,BlackHeartTees1,2018-10-09 23:56:06,RT pksp Got Another Sale for our King Shirt Thank you Canada King BlackHeartTees
1049810740297625600,canadacentre1,2018-10-09 23:55:59,Canada StudyAbroad
1049810716180566017,skilar014,2018-10-09 23:55:53,RT If you are in college or low tier job please retweet and dm e so I can give 500 daily to help Many thanks sugarba
1049810678528299008,MisterR2018,2018-10-09 23:55:44,RT Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST Cana
1049810672815693824,Londonislovinit,2018-10-09 23:55:43,RT Also trending moser Czech Bohemian glass Christmas2018 vintage vintageclique Londonislovin
1049810556973195265,t1212fish,2018-10-09 23:55:15,RT I am giving thanks today for Canada with love and respect from your shitty downstairs neighbors CanadianThanksgiving
1049810540992913408,wakker_nieuws,2018-10-09 23:55:12,It s happening in America with the Dems and it s happening in Canada with the Liberals Many people consider a
1049810504275890178,SigloDurango,2018-10-09 23:55:03,Punto de patentes del USMCA encarecer a medicinas en Canad
1049810471665176581,bagoflettuce,2018-10-09 23:54:55,TuesdayMotivation TuesdayThoughts Yesssssss I wanted to put emphasis on the funny bone as I amwriting humor
1049810467131154434,dalsimnews,2018-10-09 23:54:54,RT Halifax listed in the top 10 cities in Canada to launch a tech startup via
1049810358590943232,FOZZYROCK,2018-10-09 23:54:28,Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST
1049810292123860992,talk_ganja,2018-10-09 23:54:12,RT EdibleMarijuana products are still illegal in Canada reports Karen Graham
1049810202298601472,GlobalRegina,2018-10-09 23:53:51,RT A HUGE difference in temperatures today across Canada today Prairies Sask Skstorm YQR
1049810186133737473,ReddevilxSam,2018-10-09 23:53:47,RT Awareness CANADA S SHAME AnimalRights BanTheSealHunt Canada
1049810169536888832,Fabianvolsung,2018-10-09 23:53:43,RT Awareness CANADA S SHAME AnimalRights BanTheSealHunt Canada
1049810817753829376,hukam_rawat,2018-10-09 23:56:18,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049810716193116160,ajaymak01,2018-10-09 23:55:53,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049808981970030593,SRKuniverseIT,2018-10-09 23:49:00,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049808054621884416,shahyukisnowy,2018-10-09 23:45:19,RT Gm sir amp srkians SRK ShahRukhKhan Bollywood
1049807884803031040,SupnerPiyush,2018-10-09 23:44:38,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049806375818158080,vaibhav_k23,2018-10-09 23:38:39,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049805359957729281,ce_faraz,2018-10-09 23:34:36,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049805298272223232,Sh_Alblwy,2018-10-09 23:34:22,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049805259978215425,Sh_Alblwy,2018-10-09 23:34:13,RT Clean shaven look is back King Khan clicked at Mumbai Airport SRK ShahRukhKhan
1049805143762292736,kolkata24x7,2018-10-09 23:33:45,HockeyWorldCup OpeningCeremony SRK
1049804937289453568,im__chaudhary,2018-10-09 23:32:56,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049804234735022083,srkjapancfc,2018-10-09 23:30:08,Gm sir amp srkians SRK ShahRukhKhan Bollywood
1049803021167861762,Sh_Alblwy,2018-10-09 23:25:19,RT krishna SRK king khan supporting the Hockey Men s World Cup Bhubaneswar 2018 Odisha2018
1049802293544189952,somala_dinesh,2018-10-09 23:22:25,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049802260220403712,SRKMylife__,2018-10-09 23:22:17,RT Proud to see ShahrukhMania at the AsianParaGames2018 AthleteVillage SRK and Sports bringing the entire Asian contin
1049810603110363136,WesleyCoughlan,2018-10-09 23:55:26,RT Halifax councillor asks staff to look at banning new drive thrus reports hfxpoli
1049810402446594049,CTVAtlantic,2018-10-09 23:54:39,Halifax councillor asks staff to look at banning new drive thrus reports
1049809419607756800,jessleeder,2018-10-09 23:50:44,Meanwhile in halifax
1049808097332682752,LizJefferson79,2018-10-09 23:45:29,RT via During the 1990s a previous incarnation govt eagerly hopped into bed w private partne
1049806471796613125,Fruit_Slinger,2018-10-09 23:39:01,RT Rent I m looking for community stories from Halifax Dartmouth Bedford LowerSackville DM me with news events interest
1049806349884772352,randolf828,2018-10-09 23:38:32,RT Today a Halifax NS reporter tweeted a photo of a crime and tweeted Not impressed by the asshole s who did this
1049805921302523905,LogManMaritimes,2018-10-09 23:36:50,RT Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be entered to
1049805531156746241,SarahJ902,2018-10-09 23:35:17,RT Special weather statement in place for Halifax
1049805499686780928,NBTweeters,2018-10-09 23:35:10,Updated report on possible CFL team in Halifax tenatively set for council meeting on Oct 30 halifax ns
1049804846671511553,CDNOpticalWhse,2018-10-09 23:32:34,Frames starting at 20 Now that s tough to beat Style Choice Come meet our friendly staff at 103 Chain Lake
1049803948054507522,Darrel_Mac,2018-10-09 23:29:00,RT Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be entered to
1049802980210429956,HHBridges,2018-10-09 23:25:09,Can you believe it s been 20 years already To celebrate people who open a MACPASS account this month will be en
1049801609268604934,oscarmorton70,2018-10-09 23:19:42,the last time he tossed in name on a ballot was for hammondsplains MLA and he lost badly and th
1049800511082225666,BigJMcC,2018-10-09 23:15:20,You d think government would have less to do when something becomes legal but no all the levels of g
1049800425661116416,CMHC_ca,2018-10-09 23:15:00,Total housing starts in Halifax trended higher in September impacted by continued strength in apartment construct
1047143548393525248,DalGlobalHealth,2018-10-02 15:17:31,RT DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May the
1047140627459313666,dalfcs,2018-10-02 15:05:55,RT DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May the
1047140384181301249,RaghavSampangi,2018-10-02 15:04:57,DalProud of our DalMACS alumni Congratulations everyone was proud to have you as our students May
1049743510201663490,tarifakitesurf,2018-10-09 19:28:50,RT Watersports La I Traves a Mar Menor se celebrar estos pr ximos 12 13 y 14 de Octubre en la playa de Las Salinas Murcia
1049511525948506112,bluphoenixrebel,2018-10-09 04:07:01,Please DM me your 1 kite retailer in Nigeria for your kites from the store of in preparatio
1049413432443854849,byvirch,2018-10-08 21:37:14,RT zaveri Are you ready with your kites to fly this festive season Here s a look at how people are celebrating MakarSankranti
1049295873505726465,patangdori,2018-10-08 13:50:05,order beautiful kites at kite patang kitefestival kiteflying patangbazi
1049223821721571328,Wet_Watersports,2018-10-08 09:03:47,La I Traves a Mar Menor se celebrar estos pr ximos 12 13 y 14 de Octubre en la playa de Las Salinas Murcia
1049221141183811584,FashionArtlady,2018-10-08 08:53:08,RT Great event lbinj kitefestival going on thru Monday This was one of our favs
1049163723494051840,_annaaa456,2018-10-08 05:04:58,RT zaveri Are you ready with your kites to fly this festive season Here s a look at how people are celebrating MakarSankranti
1049098934398930944,NewJerseyBuzz,2018-10-08 00:47:31,Great event lbinj kitefestival going on thru Monday This was one of our favs
1048635045831798786,WelcomeToLBI,2018-10-06 18:04:12,4th Annual LBI FLY International Kite Festival happening now lbikitefestival lbifly lbi longbeachisland
1047826234934267904,patangdori,2018-10-04 12:30:16,we are kite makers based at India Especially paper kites You can order online We ship
1047803336278401024,chirag_goud,2018-10-04 10:59:17,RT Mylar paper kite order your kites online at we ship all over the world kite patang fighterkit
1047799062500655105,wobm,2018-10-04 10:42:18,RT Kiters From Around The World Head to Long Beach Island This Weekend lbi longbeachisland
1047791747546456065,ShawnieMikes,2018-10-04 10:13:14,Kiters From Around The World Head to Long Beach Island This Weekend lbi
1047767040797396993,patangdori,2018-10-04 08:35:03,Mylar paper kite order your kites online at we ship all over the world kite patang
1047605236922306560,G30rgina,2018-10-03 21:52:06,KiteBeach KiteFestivalDubai KiteFestival KiteFest Kites Kite Flying FlyingHigh FlyingHighInTheSky Dubai
1049810975589691392,SmokingVapors,2018-10-09 23:56:55,Sewed a patch today HIM FOREVER heartagram band music heart love lovemetal art artist
1049810975380070402,greatmido,2018-10-09 23:56:55,RT As part of our continued efforts to promote mainstream blockchain adoption Musards introduces the Artist Outreach Camp
1049810972699844608,babi0728,2018-10-09 23:56:55,RT movie BUMP OF CHICKEN MV Music BUMP official ch
1049810971248775169,R_Estreno,2018-10-09 23:56:54,Bryant Myers Tanta Falta music genre song songs melody hiphop rnb pop love
1049810947970236417,marimemoirs,2018-10-09 23:56:49,Incase you don t know a project I began here is the first posting what it s about If you love music it s MUST
1049810947366240258,alalia_strings,2018-10-09 23:56:49,Hypnophone Biosphere shuffle music
1049810943025262592,EmPrEsS_BoOgie,2018-10-09 23:56:48,This bazzi cosmic music love beautiful awesome ilovemusic musicislife
1049810936905625600,prettii_barzz,2018-10-09 23:56:46,Posted a new song FEMALE ESCOBAR music
1049810932795404291,psJeferson,2018-10-09 23:56:45,aqui que eu me sinto muito bem drummer music drums band church
1049810927619592192,BluePurpleMusic,2018-10-09 23:56:44,Here Are All the Winners From the 2018 AMAs So Far music bilboard
1049810917389684736,Nightitaly,2018-10-09 23:56:41,Already There ARY On Web radio music
1049810899484196865,kvlt_ov_romance,2018-10-09 23:56:37,Listen to Don t Give A Fuck by Kvlt ov Romance on SoundCloud music footwork juke electronic lofi
1049810751966404608,TerryforTrump,2018-10-09 23:56:02,RT Divider Obama vs the Nation Attacked Cops Christians and Clingers American Thinker waro
1049810583942508544,outlaw_mann,2018-10-09 23:55:22,RT When this rotten cantaloupe that was the Obama cartel is finally ripped open it will be CatherineHerridge who deserv
1049810296846635008,sbingcb,2018-10-09 23:54:13,RT In 100 years history will treat Obama harshly Portraying him as a smooth charismatic Neoliberal instrument succes
1049809528823328769,PrisonClinton,2018-10-09 23:51:10,Let s make a deal Democrats we will spend as much money as Obama gave Iran for the border wall Secureborders MAGA
1049808837929312257,Bonfiredesigns,2018-10-09 23:48:26,RT How does it feel as a mother to know the hate your party your boss and you created with your lies have now
1049808768186425344,AR10_Fan,2018-10-09 23:48:09,MAGA Kavanaugh KavanaughConfirmation HimToo Democrats Obama WalkAway
